rentabilidad,volatilidad,sharpe,sortino,betas,empresa
1.0,0.3897124727226797,0.9999999999999999,0.9999999999999999,0.3467553186474712,GS
0.9119421843100595,0.3848449796548449,0.9157876396706476,0.8763800512618813,0.07306913717077812,CAT
0.8620658823416133,0.5556070070974328,0.7255787122416958,0.8565393079583378,0.7089617861050305,AXP
0.8497886588702115,0.46646932976807154,0.780097294843525,0.8052999956692036,1.0,AAPL
0.790906910963803,0.5509088796519935,0.6687814658706418,0.7156325999503543,0.37399144535788764,DOW
0.7170887446893481,0.4033907550007271,0.7023157964245221,0.7669834700472685,0.2543861292940761,JPM
0.7106118735956107,1.0,0.43554461119202126,0.48698762569994003,0.28177765002142463,BA
0.7007536163748447,0.3979863370925415,0.690095112041836,0.7654030511710387,0.6115107883976046,NKE
0.6315869184330184,0.2710024630518647,0.721964512240475,0.7169773852182199,0.3615033712755833,MSFT
0.6098308599343787,0.44156301386533814,0.5722172024687859,0.7176849590649875,0.6475828245096987,DIS
0.5328600975003117,0.6206757881524881,0.42629728114639254,0.5044624220851318,0.5680523805175751,CRM
0.5067049065641032,0.29092745990381874,0.5588327763850098,0.6586337843501769,0.3508115376751024,TRV
0.4315782955192704,0.2067106242662099,0.5253956136492166,0.6526372331118085,0.3011473850875417,UNH
0.4158006519120821,0.13346162147626794,0.5621364569009775,0.562726381432436,0.4162734954906403,HD
0.3862080658880258,0.16806615272676706,0.4913781780802335,0.45725373138038095,0.0,MMM
0.3523232954327983,0.0496310090579295,0.5379872616617457,0.5085188844787191,0.5629625164043267,MCD
0.3221275114128139,0.21192982265370297,0.378398579079065,0.35446191254366366,0.10957056021871248,V
0.281838029412151,0.26456029106788514,0.3066054474684022,0.2742902948580237,0.2154143166777429,IBM
0.2606179492094702,0.0,0.4106475989292288,0.39204869498223294,0.19715047431126587,PG
0.26054331197031905,0.11401946745475944,0.33833683826546673,0.31161681716065603,0.006164322271189682,KO
0.25673355017550736,0.22188159134394025,0.28948774165264846,0.24634736485059838,0.31919399657240144,CSCO
0.22950350550989773,0.5066391734247399,0.201142611874591,0.20193669365160738,0.2815516199080934,CVX
0.22526742472608802,0.017794998676199103,0.3290733340094157,0.3080812227454785,0.0008703385161952237,JNJ
0.174220806295738,0.23944289311095446,0.18052116413663205,0.16863708722453752,0.37637631136546146,AMGN
0.11673759459651752,0.09909212666710132,0.11523121922169112,0.1001168751636643,0.3694495475362666,MRK
0.0,0.5246424542599785,0.0,0.0,0.38334201277820057,INTC
