,empresa,sector,cantidad,lastclose,capBurst
0,AAPL,Technology,16406400000,136.33,2236684512000.0
1,AMGN,Healthcare,563265984,242.46,136569470480.64
2,AXP,Financial Services,774556032,164.25,127220828256.0
3,BA,Industrials,587699008,235.76,138555918126.08
4,CAT,Industrials,540942016,215.1,116356627641.59999
5,CRM,Technology,979000000,245.81,240647990000.0
6,CSCO,Technology,4217629952,52.91,223154800760.31998
7,CVX,Energy,1933910016,103.76,200662503260.16
8,DIS,Communication Services,1817129984,173.93,316053418117.12
9,DOW,Basic Materials,739614016,62.98,46580890727.68
10,GS,Financial Services,334792992,372.62,124750564679.04001
11,HD,Consumer Cyclical,1055360000,318.24,335857766400.0
12,IBM,Technology,896320000,145.55,130459376000.00002
13,INTC,Technology,4067000064,56.75,230802253632.0
14,JNJ,Healthcare,2632600064,164.03,431825388497.92
15,JPM,Financial Services,2955269888,154.14,455525300536.31995
16,KO,Consumer Defensive,4319419904,53.86,232643956029.44
17,MCD,Consumer Cyclical,747244992,230.37,172142828807.04
18,MMM,Industrials,576252992,196.03,112962874021.76
19,MRK,Healthcare,2531369984,77.21,195447076464.63998
20,MSFT,Technology,7507979776,271.4,2037665711206.4
21,NKE,Consumer Cyclical,1277810048,155.95,199274476985.59998
22,PG,Consumer Defensive,2419950080,134.4,325241290752.0
23,TRV,Financial Services,246008992,149.52,36783264483.840004
24,UNH,Healthcare,941851008,398.1,374950886284.80005
25,V,Financial Services,1676999936,235.95,395688134899.19995
